Codigo;Descri豫o;Embalagem;EAN;Estoque
865;BEACH WAVES 260 ML;un;7898947942698;-7,00;
866;SHAMPOO NO METAL EQUALIZER LT;UN;7898947942711;2,00;
867;DEEP RECONSTRUCTION 500 ML;UN;7898947343763;32,00;
868;CAPSULAS COM 30 UN;UN;7898947942674;12,00;
869;CAPSULAS COM 90 UN;UN;7898947942650;0,00;
870;TONIC-FLUIDO DE CRESCIMENTO CAPILAR;UN;7898947942643;5,00;
871;PAPEL LAMINADO PEQUENO;UN;7898947942742;0,00;
872;AVENTAL TRUSS;UN;;0,00;
873;QUIMONO;UN;;8,00;
875;KIT FARMACY 90;UN;;0,00;
876;PAPEL LAMINADO GRANDE;UN;;0,00;
877;ALCOOL GEL 560 GR;UN;7898947943954;0,00;
878;ALCOOL LIQUIDO 500 ML;UN;7898947943947;0,00;
879;SHAMPOO VEGAN DETOX 300 ML;UN;7898947942735;0,00;
880;BOOSTER 100 ML;UN;7898947942728;6,00;
881;KIT BOOSTER;UN;7898941942728;0,00;
882;USO OBRIGATORIO OUTUBRO ROSA 260 ML;UN;7898625791204;0,00;
883;MASCARA MIRACLE SUMMER 180 GR;UN;7898702110027;14,00;
884;SHAMPOO DETOX DRY 150 ML;UN;7898702110003;1,00;
885;MINI USO OBRIGATORIO 30 ML;UN;7898947942094;-301,00;
886;ALCOOL 70 LIQUIDO  2.400 ML;UN;7898947943978;0,00;
887;MINI NET MASK TRUSS 30 GR;UN;7898947942766;95,00;
888;SHAMPOO EQUILIBRIO LA MODA 300 ML;UN;7898947943565;0,00;
889;CONDICIONADOR EQUILIBIRIO LA MODA 300 ML;UN;7898947943572;4,00;
890;SHAMPOO INFUSION LA MODA 300 ML;UN;7898947943558;0,00;
891;CONDICIONADOR INFUSION LA MODA 300 ML;UN;7898947943589;0,00;
892;DAY BAY DAY LA MODA 250 ML;UN;7898947943602;0,00;
893;HAIR PROTECTOR LA MODA 250 ML;UN;7898947943596;0,00;
894;NIGHT SPA LA MODA 250 ML;UN;;0,00;
895;INSTANT REPAIR LA MODA 30 GR;UN;;0,00;
896;NET MASK LA MODA 550 GR;UN;7898947943633;1,00;
897;USO OBRIGATORIO LA MODA 260 ML;UN;7898947943626;0,00;
898;MINI AMINO 30 ML;UN;7898947942902;-7,00;
899;MINI INFUSION 60 GR;UN;7898947943923;73,00;
